Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang, 
(0602,Jelawat,nan,23,43,nan,30,25,30,16,nan,19,nan,23,nan,9,23,nan,20,14,19,25,16,30,51,nan,nan,36,13,nan,19,38,nan,22, 
(0601,Chanchu,nan,43,62,nan,70,56,41,34,nan,47,nan,43,nan,22,51,nan,22,25,20,38,36,52,79,nan,nan,96,31,nan,22,83,nan,31, 
(0518,Damrey,nan,nan,67,nan,67,51,36,30,nan,38,nan,38,nan,23,47,nan,49,23,34,40,27,65,81,nan,nan,77,31,nan,22,81,nan,34, 
(0516,Vicente,nan,nan,51,nan,47,38,34,23,nan,30,nan,34,nan,14,31,nan,40,16,25,36,43,65,58,nan,nan,14,14,nan,12,54,nan,27, 
(0510,Sanvu,nan,nan,40,nan,30,31,20,13,nan,36,nan,23,nan,16,22,nan,23,16,14,27,12,31,52,nan,nan,45,14,nan,16,41,nan,14, 
(0417,Aere,nan,nan,38,nan,22,25,23,12,nan,31,nan,25,nan,16,19,nan,19,12,12,27,12,31,52,nan,nan,38,12,nan,22,31,nan,22, 
(0409,Kompasu,nan,nan,54,nan,65,49,41,27,nan,48,nan,38,nan,31,49,nan,36,25,25,47,22,59,63,nan,nan,77,23,nan,19,99,nan,31, 
(0404,Conson,nan,nan,19,nan,23,14,20,9,nan,19,nan,14,nan,7,19,nan,9,12,6,12,7,16,20,nan,nan,16,7,nan,13,16,nan,7, 
(0313,Dujuan,nan,nan,88,nan,88,83,62,38,nan,99,nan,62,nan,nan,58,nan,58,31,38,76,38,76,81,nan,nan,101,27,nan,51,81,nan,40, 
(0312,Krovanh,nan,nan,87,nan,67,52,43,31,nan,40,nan,41,nan,23,47,nan,54,23,31,45,30,68,79,nan,nan,70,23,nan,30,77,nan,36, 
