Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang
(1208,Vicente,nan,92,140,134,107,96,85,63,nan,68,165,79,108,53,82,101,94,46,73,101,47,114,149,88,nan,131,46,51,54,113,51,64
(1206,Doksuri,59,77,72,76,90,57,50,38,nan,47,131,57,67,26,62,58,47,31,48,71,36,85,96,nan,nan,87,38,37,32,88,29,48
(1205,Talim,38,36,48,50,44,36,32,23,nan,27,92,33,41,15,29,37,28,17,25,38,20,40,64,nan,nan,51,18,19,18,49,18,25
(1119,Nalgae,19,28,47,55,59,40,23,23,nan,38,72,27,37,15,38,56,38,26,25,23,27,47,75,nan,nan,76,18,19,25,52,28,24
(1117,Nesat,70,77,85,99,88,78,53,40,nan,58,134,62,91,38,66,69,69,36,45,66,35,91,106,nan,nan,99,32,39,45,88,39,51
(1108,Nock-ten,46,55,61,68,65,54,40,31,nan,46,103,46,54,18,43,40,49,24,29,50,25,60,64,nan,nan,66,20,32,28,72,28,39
(1104,Haima,68,50,84,79,57,60,49,36,nan,38,111,49,54,21,53,66,51,30,39,57,31,69,91,nan,nan,76,26,32,38,75,28,39
(1103,Sarika,17,19,23,15,35,23,23,16,nan,28,33,27,16,9,24,26,20,18,11,20,15,17,25,nan,nan,26,12,17,25,15,17,18
(1013,Megi,16,36,52,44,59,39,37,30,nan,41,48,31,45,15,43,58,25,24,25,24,30,37,65,nan,nan,71,24,35,18,54,25,25
(1011,Fanapi,52,30,58,50,nan,53,37,30,nan,43,85,37,32,24,32,45,38,33,18,38,19,40,72,nan,nan,nan,17,30,24,72,17,29
(1006_2,Lionrock_2,41,19,36,29,36,37,25,15,nan,28,48,27,27,18,37,30,20,18,9,20,11,23,45,nan,nan,41,12,18,18,53,11,16
(1006_1,Lionrock_1,nan,27,27,22,29,28,17,16,nan,28,32,23,24,8,24,32,17,15,16,28,16,23,30,nan,nan,nan,15,18,18,26,15,18
(1003,Chanthu,48,33,56,60,50,51,44,30,nan,28,94,31,43,15,39,53,33,26,29,38,19,40,84,nan,nan,51,18,29,32,52,24,28
(1002,Conson,38,38,46,40,40,46,33,25,nan,28,81,33,27,12,33,40,31,18,24,37,24,37,64,nan,nan,43,17,29,28,45,25,24
(0916,Ketsana,36,30,36,47,47,36,25,16,nan,27,56,28,27,nan,24,40,25,20,20,27,15,47,65,nan,nan,72,17,9,18,61,18,25
(0915,Koppu,93,85,112,121,115,87,76,54,nan,56,nan,79,nan,51,79,89,76,41,59,72,45,104,nan,nan,nan,115,40,46,50,117,48,61
(0913,Mujigae,52,57,57,nan,76,40,42,31,nan,36,83,44,nan,18,48,45,47,24,29,42,22,58,62,nan,nan,67,24,22,24,72,28,39
(0907,Goni,55,52,71,nan,65,49,41,31,nan,36,94,42,54,21,44,61,49,29,38,46,28,53,74,nan,nan,64,24,28,32,63,25,39
(0906,Molave,70,55,71,nan,nan,75,61,45,nan,99,103,71,80,40,55,85,67,50,39,88,49,85,114,nan,nan,90,28,59,52,103,34,38
(0905,Soudelor,48,46,54,nan,nan,40,37,31,nan,41,81,38,54,21,42,43,38,25,38,37,23,60,65,nan,nan,59,20,22,25,52,32,38
(0904,Nangka,36,36,40,nan,nan,38,36,23,nan,38,64,33,45,40,39,30,37,21,24,37,27,45,59,nan,nan,58,20,22,18,59,24,29
(0903,Linfa,19,17,22,nan,nan,23,15,16,nan,28,33,16,8,12,19,24,16,18,9,20,11,15,24,nan,nan,25,12,11,15,25,11,15
(0817,Higos,41,38,44,nan,59,37,37,25,nan,38,64,31,43,21,37,40,33,20,29,31,18,40,59,nan,nan,47,18,29,28,56,25,31
(0814,Hagupit,93,92,113,nan,81,81,67,54,nan,68,159,79,108,58,82,91,86,42,66,76,45,114,124,nan,nan,125,46,46,45,115,55,73
(0812,Nuri,91,52,99,nan,128,83,54,59,nan,59,138,66,74,44,96,112,80,55,48,42,45,94,106,nan,nan,139,40,63,45,128,52,39
(0809,Kammuri,75,68,89,nan,65,62,55,45,nan,54,179,64,90,32,66,64,67,37,50,66,37,nan,106,nan,nan,109,35,42,39,104,43,56
(0806,Fengshen,87,55,76,nan,nan,65,68,41,nan,68,151,55,71,32,51,70,60,40,32,62,29,nan,94,nan,nan,87,29,49,38,110,38,39
(0801,Neoguri,68,52,84,nan,81,68,50,31,nan,44,145,37,84,38,47,75,55,33,52,50,31,74,99,nan,nan,66,26,47,39,85,29,48
(0713,Francisco,nan,50,63,nan,63,43,37,29,nan,38,97,38,54,18,46,45,38,25,32,37,29,53,75,nan,nan,87,20,20,18,77,25,39
(0706_2,Pabuk_2,nan,30,101,nan,nan,59,37,31,nan,42,92,27,37,18,54,64,49,35,nan,31,23,53,62,nan,nan,58,24,60,39,88,29,25
