Typhoon Code,Typhoon Name,N,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW, 
(1011,Fanapi,0,0,0,0,0,0,0,0,2,4,11,4,5,3,1,0, 
(1006_2,Lionrock_2,0,0,0,0,0,0,4,9,5,4,3,2,9,1,2,0, 
(1006_1,Lionrock_1,6,2,3,2,2,3,1,0,0,0,2,1,3,3,4,2, 
(1003,Chanthu,0,0,1,2,14,8,10,1,0,0,0,0,0,0,0,0, 
(1002,Conson,0,0,0,1,10,9,12,3,0,0,0,0,0,0,0,0, 
(0916,Ketsana,3,7,10,7,6,0,2,0,0,0,0,0,0,0,1,0, 
(0915,Koppu,0,1,2,1,17,4,3,0,0,0,0,0,0,0,0,0, 
(0913,Mujigae,0,2,1,4,24,2,0,0,0,0,0,0,0,0,0,0, 
(0907,Goni,0,0,2,5,16,8,6,1,0,0,0,0,0,0,0,0, 
(0906,Molave,0,0,0,0,0,0,0,0,2,3,3,4,10,7,2,0, 
(0905,Soudelor,0,0,1,7,21,3,0,0,0,0,0,0,0,0,0,0, 
(0904,Nangka,2,1,3,3,10,0,0,0,0,0,0,0,6,4,5,1, 
(0903,Linfa,1,0,0,1,0,0,1,0,3,3,8,3,7,2,1,0, 
(0817,Higos,0,1,1,6,17,2,5,3,0,0,0,0,0,0,0,0, 
(0814,Hagupit,0,2,2,5,15,5,1,0,0,0,0,0,0,0,0,0, 
(0812,Nuri,9,3,2,0,1,0,0,0,3,6,4,0,0,0,1,4, 
(0809,Kammuri,0,0,5,7,16,2,1,0,0,0,0,0,0,0,0,0, 
(0806,Fengshen,2,1,2,1,0,0,0,0,0,0,8,6,3,1,1,2, 
(0801,Neoguri,0,0,0,3,16,5,0,3,3,5,0,0,0,0,0,0, 
(0713,Francisco,3,3,2,14,12,0,2,0,0,0,0,0,0,0,0,0, 
(0706_2,Pabuk_2,0,0,0,0,6,2,1,5,6,4,5,1,0,0,0,0, 
(0706_1,Pabuk_1,1,10,8,6,1,1,0,0,0,0,0,0,1,0,0,2, 
(0619,Cimaron,9,10,4,0,0,1,0,0,0,0,0,0,0,0,0,1, 
(0615W,TD0615W,1,4,4,5,5,3,0,0,0,0,0,0,0,0,0,0, 
(0613W,TD0613W,1,0,0,0,7,6,0,4,3,0,0,0,0,0,0,0, 
(0609,Bopha,1,1,1,0,3,1,1,0,1,0,1,4,6,2,2,1, 
(0606,Prapiroon,0,0,0,0,7,8,4,2,0,0,0,0,0,0,0,0, 
(0602,Jelawat,0,0,0,0,10,11,2,1,0,0,0,0,0,0,0,0, 
(0601,Chanchu,8,2,2,3,0,0,0,0,0,0,0,0,2,2,1,5, 
(0518,Damrey,1,2,2,4,10,0,0,1,0,0,0,0,0,0,0,0, 
(0516,Vicente,0,0,0,2,16,3,3,0,0,0,0,0,0,0,0,0, 
(0510,Sanvu,1,0,0,0,0,0,0,0,1,2,3,3,6,3,1,0, 
(0417,Aere,1,0,0,0,0,0,0,0,0,0,2,0,5,6,8,1, 
(0409,Kompasu,5,4,0,0,0,1,0,0,0,1,4,0,2,0,3,1, 
(0404,Conson,0,0,0,1,4,1,4,3,5,2,1,1,2,0,0,0, 
(0313,Dujuan,0,0,0,0,0,0,0,1,1,1,1,1,9,4,2,0, 
(0312,Krovanh,0,0,1,6,7,6,3,0,0,0,0,0,0,0,0,0, 
(0307,Imburdo,0,0,2,3,8,8,1,0,0,0,0,0,0,0,0,0, 
(0308,Goni,0,0,1,3,7,6,2,0,0,1,0,0,0,0,0,0, 
(0218,Hagupit,0,2,1,3,7,5,3,0,0,0,0,0,0,0,0,0, 
(0214,Vongfong,0,0,0,6,8,2,5,0,0,0,0,0,0,0,0,0, 
(0212,Kammuri,3,6,2,3,0,0,0,0,0,0,0,0,1,4,2,1, 
(0116,Nari,7,1,2,1,0,0,1,0,0,1,2,0,3,1,2,1, 
(0114,Fitow,0,0,1,4,8,2,1,0,0,0,0,0,0,0,0,0, 
(0107,Yutu,0,2,1,2,8,1,2,0,0,0,0,0,0,0,0,0, 
(0104,Utor,0,0,0,0,0,0,0,3,6,4,1,1,1,2,1,0, 
(0103,Durian,0,2,0,3,7,7,5,1,0,0,0,0,0,0,0,0, 
(0102,Chebi,0,0,0,1,0,0,0,0,1,2,5,4,2,2,0,1, 
